ID,EmailId,UUID,LOCALE,VENDOR_ID,ACCOUNT,STORE,STATUS,NAME,ADDR1,ADDR2,CITY,STATE_PROV,POSTAL,PHONE,SPECIALTY,DEALER_TYPE,COUNTRY,KEY_ACCOUNT,SALES_REP1,SALES_REP2,CREDIT_REP,NB_MINIMUS_FLAG,ROBIS_FLAG,COMPANY,MON_OPEN,MON_CLOSE,TUE_OPEN,TUE_CLOSE,WED_OPEN,WED_CLOSE,THU_OPEN,THU_CLOSE,FRI_OPEN,FRI_CLOSE,SAT_OPEN,SAT_CLOSE,SUN_OPEN,SUN_CLOSE,PRODUCT_LINE_SHOE,PRODUCT_LINE_APPAREL,CATEGORY_RUNNING,CATEGORY_WALKING,CATEGORY_TRAINING,CATEGORY_TENNIS,SUBCATEGORY_KIDS,DUNHAM,ARAVON,COBB_HILL,CATEGORY_FOOTBALL,CATEGORY_CRICKET,CATEGORY_LIFESTYLE,PF_FLYERS,InventoryOrganizationCode,ParentOrganizationCode,PrimaryEnterpriseKey,DefaultDistributionRuleId,OwnerKey
770,NBL.0310710@gmail.com,0310710_001,en_US_CST,,310710,1,active,NEW BALANCE ROCKWALL,951 EAST INTERSTATE 30,SUITE 115,ROCKWALL,TX,75087,(214) 771-0528,,New Balance Store,US,Procare,,,,,,10,10:00am,7:00pm,10:00am,7:00pm,10:00am,7:00pm,10:00am,7:00pm,10:00am,7:00pm,10:00am,6:00pm,,,Y,Y,Y,Y,Y,Y,Y,,,,,,,,NB_US,NB_STORES,NB_STORES,NB_DG,NB_US
771,NBL.0310714@gmail.com,0310714_001,en_US_CST,,310714,1,active,NEW BALANCE LUBBOCK,5027 MILWAUKEE AVENUE,SUITE 300,LUBBOCK,TX,79407,(806) 791-0082,,New Balance Store,US,Procare,,,,,,10,10:00am,7:00pm,10:00am,7:00pm,10:00am,7:00pm,10:00am,7:00pm,10:00am,7:00pm,10:00am,6:00pm,,,Y,Y,Y,Y,Y,Y,Y,,,,,,,,NB_US,NB_STORES,NB_STORES,NB_DG,NB_US
772,NBL.0310716@gmail.com,0310716_001,en_US_CST,,310716,1,active,NEW BALANCE TYLER,7278 OLD JACKSONVILLE HIGHWAY,SWAN PLAZA SUITE 400,TYLER,TX,75703,903-581-2605,,New Balance Store,US,Procare,,,,,,10,10:00am,7:00pm,10:00am,7:00pm,10:00am,7:00pm,10:00am,7:00pm,10:00am,7:00pm,10:00am,6:00pm,,,Y,Y,Y,Y,Y,Y,Y,,,,,,,,NB_US,NB_STORES,NB_STORES,NB_DG,NB_US
773,NBL.0310718@gmail.com,0310718_001,en_US_CST,,310718,1,active,NEW BALANCE MIDLAND,2900 WEST LOOP 250 NORTH,SUITE 115,MIDLAND,TX,79705,(432) 689-3399,,New Balance Store,US,Procare,,,,,,10,10:00am,7:00pm,10:00am,7:00pm,10:00am,7:00pm,10:00am,7:00pm,10:00am,7:00pm,10:00am,6:00pm,,,Y,Y,Y,Y,Y,Y,Y,,,,,,,,NB_US,NB_STORES,NB_STORES,NB_DG,NB_US
912,NBL.0380219@gmail.com,0380219_001,en_US_CST,,380219,1,active,NEW BALANCE BIRMINGHAM,4618 HIGHWAY 280,SUITE 130,BIRMINGHAM,AL,35242,(205) 991-4446,,New Balance Store,US,Procare,,,,,,10,10:00am,8:00pm,10:00am,8:00pm,10:00am,8:00pm,10:00am,8:00pm,10:00am,8:00pm,10:00am,8:00pm,12:00pm,6:00pm,Y,Y,Y,Y,Y,Y,Y,,,,,,,,NB_US,NB_STORES,NB_STORES,NB_DG,NB_US
1393,NBL.0550605@gmail.com,0550605_001,en_US_CST,,550605,1,active,NEW BALANCE FT WORTH,4601 WEST FREEWAY,SUITE B 304,FORT WORTH,TX,76107,(817) 737-8454,,New Balance Store,US,Procare,,,,,,10,10:00am,7:00pm,10:00am,7:00pm,10:00am,7:00pm,10:00am,7:00pm,10:00am,7:00pm,10:00am,6:00pm,,,Y,Y,Y,Y,Y,Y,Y,,,,,,,,NB_US,NB_STORES,NB_STORES,NB_DG,NB_US
1867,NBL.0742299@gmail.com,0742299_001,en_US_CST,,742299,1,active,NEW BALANCE MEMPHIS I,1140 NORTH GERMANTOWN PARKWAY,SUITE 114,CORDOVA,TN,38016,(901) 624-7663,,New Balance Store,US,Procare,,,,,,10,10:00am,8:00pm,10:00am,8:00pm,10:00am,8:00pm,10:00am,8:00pm,10:00am,8:00pm,10:00am,6:00pm,1:00pm,6:00pm,Y,Y,Y,Y,Y,Y,Y,,,,,,,,NB_US,NB_STORES,NB_STORES,NB_DG,NB_US
876,NBL.0360823@gmail.com,0360823_001,en_US_CST,,360823,1,active,NEW BALANCE GREEN HILLS,2171 GREEN HILLS VILLAGE DRIVE,,NASHVILLE,TN,37215,(615) 292-3760,,New Balance Store,US,Procare,,,,,,10,10:00am,8:00pm,10:00am,8:00pm,10:00am,8:00pm,10:00am,8:00pm,10:00am,8:00pm,10:00am,7:00pm,12:00pm,6:00pm,Y,Y,Y,Y,Y,Y,Y,,,,,,,,NB_US,NB_STORES,NB_STORES,NB_DG,NB_US
1975,NBL.0810711@gmail.com,0810711_001,en_US_CST,,810711,1,active,NEW BALANCE COOL SPRINGS,420 COOL SPRINGS BOULEVARD,SUITE 130,FRANKLIN,TN,37067,(615) 503-9654,,New Balance Store,US,Procare,,,,,,10,10:00am,8:00pm,10:00am,8:00pm,10:00am,8:00pm,10:00am,8:00pm,10:00am,8:00pm,10:00am,7:00pm,12:00pm,6:00pm,Y,Y,Y,Y,Y,Y,Y,,,,,,,,NB_US,NB_STORES,NB_STORES,NB_DG,NB_US
1891,NBL.0771220@gmail.com,0771220_001,en_US_EST,,771220,1,active,NEW BALANCE ATLANTA AT EAST COBB,4250 ROSWELL ROAD,BUILDING 500 SUITE 520,MARIETTA,GA,30062,(678) 560-9259,,New Balance Store,US,Procare,,,,,,10,10:00am,8:00pm,10:00am,8:00pm,10:00am,8:00pm,10:00am,8:00pm,10:00am,8:00pm,10:00am,8:00pm,12:00pm,6:00pm,Y,Y,Y,Y,Y,Y,Y,,,,,,,,NB_US,NB_STORES,NB_STORES,NB_DG,NB_US
916,NBL.0380418@gmail.com,0380418_001,en_US_EST,,380418,1,active,NEW BALANCE ATLANTA AT GWINNETT,5161 PEACHTREE PARKWAY SUITE 615,THE FORUM ON PEACHTREE PARKWAY,NORCROSS,GA,30092,(678) 421-9008,,New Balance Store,US,,,,,,,10,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,12:00 PM,6:00 PM,Y,Y,Y,Y,Y,Y,Y,,,,,,,,NB_US,NB_STORES,NB_STORES,NB_DG,NB_US
911,NBL.0380217@gmail.com,0380217_001,en_US_EST,,380217,1,active,NEW BALANCE ATLANTA AT MALL GEORGIA,3260 BUFORD DRIVE,SUITE 70,BUFORD,GA,30519,(678) 546-9100,,New Balance Store,US,Procare,,,,,,10,10:00am,8:00pm,10:00am,8:00pm,10:00am,8:00pm,10:00am,8:00pm,10:00am,8:00pm,10:00am,8:00pm,12:00pm,6:00pm,Y,Y,Y,Y,Y,Y,Y,,,,,,,,NB_US,NB_STORES,NB_STORES,NB_DG,NB_US
1918,NBL.0790314@gmail.com,0790314_001,en_US_EST,,790314,1,active,NEW BALANCE ATLANTA AT NORTHPOINT,7300 NORTH POINT PARKWAY,SUITE 119,ALPHARETTA,GA,30022,(678) 867-0035,,New Balance Store,US,,,,,,,10,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,12:00 AM,6:00 PM,Y,Y,Y,Y,Y,Y,Y,,,,,,,,NB_US,NB_STORES,NB_STORES,NB_DG,NB_US
1622,NBL.0615325@gmail.com,0615325_001,en_US_EST,,615325,1,active,NEW BALANCE CHATTANOOGA,1820 GUNBARREL ROAD,SUITE 300,CHATTANOOGA,TN,37421,(423) 894-5400,,New Balance Store,US,Procare,,,,,,10,10:00am,7:00pm,10:00am,7:00pm,10:00am,7:00pm,10:00am,7:00pm,10:00am,8:00pm,10:00am,8:00pm,12:30pm,5:00pm,Y,Y,Y,Y,Y,Y,Y,,,,,,,,NB_US,NB_STORES,NB_STORES,NB_DG,NB_US
19247,NBL.0790607@gmail.com,0790607_001,en_US_EST,,790607,1,active,New Balance Greenville,1140 WOODRUFF ROAD #501,,Greenville,SC,29607,864-288-0044,,NBL,US,,,,,,,10,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,12:00 PM,6:00 PM,Y,Y,Y,Y,Y,Y,Y,,,,,,Y,,NB_US,NB_STORES,NB_STORES,NB_DG,NB_US
1807,NBL.0691010@gmail.com,0691010_001,en_US_EST,,691010,1,active,NEW BALANCE LONG ISLAND,127 OLD COUNTRY ROAD,COUNTRY GLEN CENTER,CARLE PLACE,NY,11514,516-873-7020,,New Balance Store,US,Procare,,,,,,10,10:00am,8:00pm,10:00am,8:00pm,10:00am,8:00pm,10:00am,9:00pm,10:00am,9:00pm,10:00am,9:00pm,10:00am,6:00pm,Y,Y,Y,Y,Y,Y,Y,,,,,,,,NB_US,NB_STORES,NB_STORES,NB_DG,NB_US
3654,NBL.0691035@gmail.com,0691035_001,en_US_EST,,691035,1,active,NEW BALANCE SUFFOLK,RUN SUFFOLK INC.,117 ALEXANDER AVENUE,LAKE GROVE,NY,11755,(631)257-5124,,New Balance Store,US,Procare,,,,,,10,10:00am,8:00pm,10:00am,8:00pm,10:00am,8:00pm,10:00am,9:00pm,10:00am,9:00pm,10:00am,9:00pm,10:00am,6:00pm,Y,Y,Y,Y,Y,Y,Y,,,,,,,,NB_US,NB_STORES,NB_STORES,NB_DG,NB_US
33,,0008711_001,,,8711,1,active,NEW BALANCE PORTLAND,7385 SOUTHWEST BRIDGEPORT ROAD,,PORTLAND,OR,97224,(503) 808-9400,,New Balance Store,US,Procare,,,,,,10,10:00am,9:00pm,10:00am,9:00pm,10:00am,9:00pm,10:00am,9:00pm,10:00am,9:00pm,10:00am,9:00pm,11:00am,7:00pm,Y,Y,Y,Y,Y,Y,Y,,,,,,,,NB_US,NB_STORES,NB_STORES,NB_DG,NB_US
76,,0030117_001,,,30117,1,active,NEW BALANCE SEATTLE ALDERWOOD MALL,3000 184TH STREET SOUTHWEST,SUITE 200,LYNNWOOD,WA,98037,(425) 774-1014,,New Balance Store,US,Procare,,,,,,10,10:00am,9:00pm,10:00am,9:00pm,10:00am,9:00pm,10:00am,9:00pm,10:00am,9:00pm,10:00am,9:00pm,11:00am,7:00pm,Y,Y,Y,Y,Y,Y,Y,,,,,,,,NB_US,NB_STORES,NB_STORES,NB_DG,NB_US
77,,0030400_001,,,30400,1,active,NEW BALANCE BELLEVUE,823 BELLEVUE WAY NORTHEAST,SUITE 100,BELLEVUE,WA,98004,(425) 454-8542,,New Balance Store,US,,,,,,,10,10:00am,8:00pm,10:00am,8:00pm,10:00am,8:00pm,10:00am,8:00pm,10:00am,8:00pm,10:00am,8:00pm,11:00am,6:00pm,Y,Y,Y,Y,Y,Y,Y,,,,,,,,NB_US,NB_STORES,NB_STORES,NB_DG,NB_US
94,,0100875_001,,,100875,1,active,NEW BALANCE DAYTON,304 EAST STROOP ROAD,,DAYTON,OH,45429,(937) 293-1991,,New Balance Store,US,,,,,,,10,10:00am,9:00pm,10:00am,9:00pm,10:00am,9:00pm,10:00am,9:00pm,10:00am,9:00pm,10:00am,9:00pm,12:00pm,5:00pm,Y,Y,Y,Y,Y,Y,Y,,,,,,,,NB_US,NB_STORES,NB_STORES,NB_DG,NB_US
364,,0203500_001,,,203500,1,active,NEW BALANCE SALT LAKE CITY,445 EAST SOUTH TEMPLE,,SALT LAKE CITY,UT,84111,(801) 485-6208,,New Balance Store,US,,,,,,,10,10:00am,7:00pm,10:00am,7:00pm,10:00am,7:00pm,10:00am,7:00pm,10:00am,7:00pm,10:00am,6:00pm,,,Y,Y,Y,Y,Y,Y,Y,,,,,,,,NB_US,NB_STORES,NB_STORES,NB_DG,NB_US
365,,0203511_001,,,203511,1,active,NEW BALANCE UNION PARK,7444 SOUTH UNION PARK AVENUE,,MIDVALE,UT,84047,(801) 566-3800,,New Balance Store,US,,,,,,,10,10:00am,7:30pm,10:00am,7:30pm,10:00am,7:30pm,10:00am,7:30pm,10:00am,7:30pm,10:00am,6:00pm,,,Y,Y,Y,Y,Y,Y,Y,,,,,,,,NB_US,NB_STORES,NB_STORES,NB_DG,NB_US
373,,0210702_001,,,210702,1,active,NEW BALANCE ALBUQUERQUE JUAN TABO,1331 JUAN TABO BOULEVARD NORTHEAST,SUITE 1B,ALBUQUERQUE,NM,87112,(505) 299-9471,,New Balance Store,US,Procare,,,,,,10,10:00am,5:30pm,10:00am,5:30pm,10:00am,5:30pm,10:00am,5:30pm,10:00am,5:30pm,10:00am,5:30pm,12:00pm,5:00pm,Y,Y,Y,Y,Y,Y,Y,,,,,,,,NB_US,NB_STORES,NB_STORES,NB_DG,NB_US
374,,0210704_001,,,210704,1,active,NEW BALANCE ALBUQUERQUE II,3731 ELLISON ROAD NORTHWEST,,ALBUQUERQUE,NM,87114,(505) 899-0060,,New Balance Store,US,,,,,,,10,10:00am,5:30pm,10:00am,5:30pm,10:00am,5:30pm,10:00am,5:30pm,10:00am,5:30pm,10:00am,5:30pm,12:00pm,5:00pm,Y,Y,Y,Y,Y,Y,Y,,,,,,,,NB_US,NB_STORES,NB_STORES,NB_DG,NB_US
632,,0261205_001,,,261205,1,active,NEW BALANCE MILWAUKEE I,17155D WEST BLUEMOUND ROAD,,BROOKFIELD,WI,53005,(262) 432-1400,,New Balance Store,US,Procare,,,,,,10,9:30am,9:00pm,9:30am,9:00pm,9:30am,9:00pm,9:30am,9:00pm,9:30am,9:00pm,9:30am,5:30pm,11:00am,5:00pm,Y,Y,Y,Y,Y,Y,Y,,,,,,,,NB_US,NB_STORES,NB_STORES,NB_DG,NB_US
633,,0261215_001,,,261215,1,active,NEW BALANCE MILWAUKEE WEST LAYTON,7411 WEST LAYTON AVENUE,LAYTON PLAZA,MILWAUKEE,WI,53220,(414) 431-6300,,New Balance Store,US,Procare,,,,,,10,9:30am,9:00pm,9:30am,9:00pm,9:30am,9:00pm,9:30am,9:00pm,9:30am,9:00pm,9:30am,5:30pm,11:00am,5:00pm,Y,Y,Y,Y,Y,Y,Y,,,,,,,,NB_US,NB_STORES,NB_STORES,NB_DG,NB_US
634,,0261822_001,,,261822,1,active,NEW BALANCE MADISON,735 Hilldale Way,,MADISON,WI,53705,(608) 238-3509,,New Balance Store,US,,,,,,,10,,,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,,,,,,,NB_US,NB_STORES,NB_STORES,NB_DG,NB_US
644,,0270213_001,,,270213,1,active,NEW BALANCE OMAHA,2757 SOUTH 140TH STREET,,OMAHA,NE,68144,(402) 330-0186,,New Balance Store,US,,,,,,,10,10:00am,8:00pm,10:00am,8:00pm,10:00am,8:00pm,10:00am,8:00pm,10:00am,8:00pm,10:00am,8:00pm,12:00pm,6:00pm,Y,Y,Y,Y,Y,Y,Y,,,,,,,,NB_US,NB_STORES,NB_STORES,NB_DG,NB_US
671,,0278506_001,,,278506,1,active,NEW BALANCE TWIN CITIES,WOODBURY,10150 HUDSON ROAD SUITE 154,SAINT PAUL,MN,55129,(651) 731-8700,,New Balance Store,US,Procare,,,,,,10,9:30am,8:00pm,9:30am,8:00pm,9:30am,8:00pm,9:30am,8:00pm,9:30am,8:00pm,10:00am,6:00pm,12:00pm,6:00pm,Y,Y,Y,Y,Y,Y,Y,,,,,,,,NB_US,NB_STORES,NB_STORES,NB_DG,NB_US
681,,0278522_001,,,278522,1,active,NEW BALANCE TWIN CITIES,BLOOMINGTON,7971 SOUTHTOWN CENTER,MINNEAPOLIS,MN,55431,(952) 884-0242,,New Balance Store,US,Procare,,,,,,10,9:30am,8:00pm,9:30am,8:00pm,9:30am,8:00pm,9:30am,8:00pm,9:30am,8:00pm,10:00am,6:00pm,12:00pm,6:00pm,Y,Y,Y,Y,Y,Y,Y,,,,,,,,NB_US,NB_STORES,NB_STORES,NB_DG,NB_US
682,,0278523_001,,,278523,1,active,NEW BALANCE TWIN CITIES,MAPLE GROVE,7845 MAIN STREET NORTH,OSSEO,MN,55369,(763) 494-4878,,New Balance Store,US,Procare,,,,,,10,9:30am,8:00pm,9:30am,8:00pm,9:30am,8:00pm,9:30am,8:00pm,9:30am,8:00pm,10:00am,6:00pm,12:00pm,6:00pm,Y,Y,Y,Y,Y,Y,Y,,,,,,,,NB_US,NB_STORES,NB_STORES,NB_DG,NB_US
683,,0278602_001,,,278602,1,active,NEW BALANCE TWIN CITIES,ST LOUIS PARK,5301  EXCELSIOR BLVD,MINNEAPOLIS,MN,55416,952-905-2061,,New Balance Store,US,Procare,,,,,,10,9:30am,8:00pm,9:30am,8:00pm,9:30am,8:00pm,9:30am,8:00pm,9:30am,8:00pm,10:00am,6:00pm,12:00pm,6:00pm,Y,Y,Y,Y,Y,Y,Y,,,,,,,,NB_US,NB_STORES,NB_STORES,NB_DG,NB_US
747,,0290700_001,,,290700,1,active,NEW BALANCE PALM BEACH,3101 PGA BOULEVARD,SUITE E101,PALM BEACH GARDENS,FL,33410,(561) 721-9700,,New Balance Store,US,Procare,,,,,,10,10:00am,9:00pm,10:00am,9:00pm,10:00am,9:00pm,10:00am,9:00pm,10:00am,9:00pm,10:00am,9:00pm,12:00pm,6:00pm,Y,Y,Y,Y,Y,Y,Y,,,,,,,,NB_US,NB_STORES,NB_STORES,NB_DG,NB_US
754,,0291114_001,,,291114,1,active,NEW BALANCE TUCSON EAST SPEEDWAY,5632 EAST SPEEDWAY,SUITE 150,TUCSON,AZ,85712,(520) 747-5555,,New Balance Store,US,Procare,,,,,,10,9:30am,6:00pm,9:30am,6:00pm,9:30am,6:00pm,9:30am,6:00pm,9:30am,6:00pm,9:30am,6:00pm,11:00am,4:00pm,Y,Y,Y,Y,Y,Y,Y,,,,,,,,NB_US,NB_STORES,NB_STORES,NB_DG,NB_US
755,,0291124_001,,,291124,1,active,NEW BALANCE TUCSON NORTH ORACLE,7366 NORTH ORACLE ROAD,,TUCSON,AZ,85704,(520) 327-7772,,New Balance Store,US,Procare,,,,,,10,9:30am,6:00pm,9:30am,6:00pm,9:30am,6:00pm,9:30am,6:00pm,9:30am,6:00pm,9:30am,6:00pm,11:00am,4:00pm,Y,Y,Y,Y,Y,Y,Y,,,,,,,,NB_US,NB_STORES,NB_STORES,NB_DG,NB_US
764,,0300719_001,,,300719,1,active,NEW BALANCE BOCA,6000 GLADES ROAD,BOCA TOWN CENTER SUITE 1234,BOCA RATON,FL,33431,(561) 338-5554,,New Balance Store,US,Procare,,,,,,10,10:00am,9:00pm,10:00am,9:00pm,10:00am,9:00pm,10:00am,9:00pm,10:00am,9:00pm,10:00am,9:00pm,12:00pm,6:00pm,Y,Y,Y,Y,Y,Y,Y,,,,,,,,NB_US,NB_STORES,NB_STORES,NB_DG,NB_US
774,,0310805_001,,,310805,1,active,NEW BALANCE BOISE,4572 NORTH EAGLE ROAD,,BOISE,ID,83713,(208) 939-7463,,New Balance Store,US,Procare,,,,,,10,10:00am,7:00pm,10:00am,7:00pm,10:00am,7:00pm,10:00am,7:00pm,10:00am,7:00pm,10:00am,7:00pm,,,Y,Y,Y,Y,Y,Y,Y,,,,,,,,NB_US,NB_STORES,NB_STORES,NB_DG,NB_US
822,,0320308_001,,,320308,1,active,NEW BALANCE EDMOND,1492 SOUTH BRYANT AVENUE,,EDMOND,OK,73034,(405) 216-9142,,New Balance Store,US,Procare,,,,,,10,10:00am,7:00pm,10:00am,7:00pm,10:00am,7:00pm,10:00am,7:00pm,10:00am,7:00pm,10:00am,7:00pm,12:00pm,5:00pm,Y,Y,Y,Y,Y,Y,Y,,,,,,,,NB_US,NB_STORES,NB_STORES,NB_DG,NB_US
824,,0321019_001,,,321019,1,active,NEW BALANCE SAN ANTONIO AT HUEBNER,11255 HUEBNER ROAD,SUITE 105,SAN ANTONIO,TX,78230,(210) 699-0808,,New Balance Store,US,Procare,,,,,,10,,,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,,,,,,,NB_US,NB_STORES,NB_STORES,NB_DG,NB_US
825,,0321029_001,,,321029,1,active,NEW BALANCE HOUSTON,1800 POST OAK BOULEAVRD,SUITE 6140,HOUSTON,TX,77056,(713) 622-6275,,New Balance Store,US,Procare,,,,,,10,10:00am,7:00pm,10:00am,7:00pm,10:00am,7:00pm,10:00am,7:00pm,10:00am,7:00pm,10:00am,7:00pm,12:00pm,5:00pm,Y,Y,Y,Y,Y,Y,Y,,,,,,,,NB_US,NB_STORES,NB_STORES,NB_DG,NB_US
827,,0321049_001,,,321049,1,active,NEW BALANCE HUMBLE,20465 HIGHWAY 59 NORTH,,HUMBLE,TX,77338,(281) 446-6100,,New Balance Store,US,Procare,,,,,,10,10:00am,7:00pm,10:00am,7:00pm,10:00am,7:00pm,10:00am,7:00pm,10:00am,7:00pm,10:00am,7:00pm,12:00pm,5:00pm,Y,Y,Y,Y,Y,Y,Y,,,,,,,,NB_US,NB_STORES,NB_STORES,NB_DG,NB_US
828,,0321069_001,,,321069,1,active,NEW BALANCE THE WOODLANDS,10868 KUYKENDAHL ROAD,,SPRING,TX,77381,281-298-0050,,New Balance Store,US,Procare,,,,,,10,10:00am,7:00pm,10:00am,7:00pm,10:00am,7:00pm,10:00am,7:00pm,10:00am,7:00pm,10:00am,7:00pm,12:00pm,5:00pm,Y,Y,Y,Y,Y,Y,Y,,,,,,,,NB_US,NB_STORES,NB_STORES,NB_DG,NB_US
